112.077922077922	38
117.272727272727	40
122.467532467532	42
127.662337662338	44
132.857142857143	46
138.051948051948	48
143.246753246753	50
153.636363636364	54
164.025974025974	58
174.415584415584	62
184.805194805195	66
195.194805194805	70
205.584415584416	74
215.974025974026	78
226.363636363636	82
236.753246753247	86
247.142857142857	90
257.532467532468	94
267.922077922078	98
278.311688311688	102
288.701298701299	106
299.090909090909	110
309.480519480519	114
319.87012987013	118
330.25974025974	122
340.649350649351	126
351.038961038961	130
